Location,Zip Code,Phone Number,Moego Booking Link,City,State,Latitude,Longitude,Max Drive Time,Important Notes,Source_Tab
"Albuquerque, NM",85920,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,33.8494722,-109.1166566,,,"Albuquerque, NM"
"Albuquerque, NM",85924,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,34.5516281,-109.6639309,,,"Albuquerque, NM"
"Albuquerque, NM",85925,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,34.0812753,-109.3426306,,,"Albuquerque, NM"
"Albuquerque, NM",85927,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,34.0102032,-109.4497084,,,"Albuquerque, NM"
"Albuquerque, NM",85930,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,34.0740905,-109.7115472,,,"Albuquerque, NM"
"Albuquerque, NM",85932,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,33.9630775,-109.21179,,,"Albuquerque, NM"
"Albuquerque, NM",85936,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,34.6145479,-109.2831531,,,"Albuquerque, NM"
"Albuquerque, NM",85938,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,34.2224056,-109.3307345,,,"Albuquerque, NM"
"Albuquerque, NM",85940,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,34.2704503,-109.6877385,,,"Albuquerque, NM"
"Albuquerque, NM",86028,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.0199151,-109.7829791,,,"Albuquerque, NM"
"Albuquerque, NM",86502,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.212004,-109.5211063,,,"Albuquerque, NM"
"Albuquerque, NM",86503,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,36.0710614,-109.6639309,,,"Albuquerque, NM"
"Albuquerque, NM",86505,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.567652,-109.6639309,,,"Albuquerque, NM"
"Albuquerque, NM",86506,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.3689534,-109.21179,,,"Albuquerque, NM"
"Albuquerque, NM",86507,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,36.4106866,-109.2593642,,,"Albuquerque, NM"
"Albuquerque, NM",86508,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.3336544,-109.1047663,,,"Albuquerque, NM"
"Albuquerque, NM",86511,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.7497181,-109.3307345,,,"Albuquerque, NM"
"Albuquerque, NM",86512,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.1244822,-109.2831531,,,"Albuquerque, NM"
"Albuquerque, NM",86514,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,36.9182396,-109.3307345,,,"Albuquerque, NM"
"Albuquerque, NM",86515,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.6688304,-108.9264524,,,"Albuquerque, NM"
"Albuquerque, NM",86535,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,36.8370052,-109.8067916,,,"Albuquerque, NM"
"Albuquerque, NM",86538,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,36.3881445,-109.6401242,,,"Albuquerque, NM"
"Albuquerque, NM",86540,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.9187973,-109.4497084,,,"Albuquerque, NM"
"Albuquerque, NM",86544,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,36.6179603,-109.140438,,,"Albuquerque, NM"
"Albuquerque, NM",86545,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,36.7039897,-109.6163185,,,"Albuquerque, NM"
"Albuquerque, NM",86547,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,36.4956793,-109.4973059,,,"Albuquerque, NM"
"Albuquerque, NM",86556,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,36.2854674,-109.2593642,,,"Albuquerque, NM"
"Albuquerque, NM",87001,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.4535307,-106.4170311,,,"Albuquerque, NM"
"Albuquerque, NM",87004,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.3180691,-106.5466221,,,"Albuquerque, NM"
"Albuquerque, NM",87005,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.3019391,-107.9650353,,,"Albuquerque, NM"
"Albuquerque, NM",87006,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,34.4938941,-106.8414374,,,"Albuquerque, NM"
"Albuquerque, NM",87007,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.0164961,-107.5268471,,,"Albuquerque, NM"
"Albuquerque, NM",87008,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.1116228,-106.4170311,,,"Albuquerque, NM"
"Albuquerque, NM",87009,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,34.39,-105.73,,,"Albuquerque, NM"
"Albuquerque, NM",87010,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.3579596,-106.1816196,,,"Albuquerque, NM"
"Albuquerque, NM",87011,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,34.023248,-106.0169971,,,"Albuquerque, NM"
"Albuquerque, NM",87012,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,36.0930508,-106.6998767,,,"Albuquerque, NM"
"Albuquerque, NM",87013,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.9577673,-107.1957203,,,"Albuquerque, NM"
"Albuquerque, NM",87014,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.2468781,-107.2666396,,,"Albuquerque, NM"
"Albuquerque, NM",87015,(505) 807-7009,https://go.moego.pet/calendar/grooming?~c=117006&~b=110208&utm_source=zip_locator,Albuquerque,New Mexico,35.119378,-106.2051484,,,"Albuquerque, NM"
